PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
ND0000005,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0000094,311313,Beet Sugar Manufacturing,2063,Beet Sugar
ND0000141,112511,Finfish Farming and Fish Hatcheries,0921,Fish Hatcheries And Preserves
ND0000264,221112,Fossil Fuel Electric Power Generation,4911,Electric Services
ND0000370,,,4911,Electric Services
ND0020010,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0020079,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0020109,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0020320,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0020371,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0020532,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0020559,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0020567,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0020630,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0020681,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0020729,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0021202,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0021211,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0021342,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0021407,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0021849,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022039,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022144,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022349,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022462,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022497,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022519,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022616,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022799,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022861,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022870,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022888,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022896,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022918,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0022926,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0023175,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0023213,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0023370,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0023434,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0023647,,,4952,Sewerage Systems
ND0023868,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0023892,221320,Sewage Treatment Facilities,4952,Sewerage Systems
ND0024023,,,5172,Petroleum Products
ND0024201,212321,Construction Sand and Gravel Mining,1442,Construction Sand And Gravel
